,text,Mapping,word_count,unique_wordcount,mean_word_length,tweet_length,url_count,hashtags,mention_count,stopwords,punctuation_count,text_Adjectives,Processed_Text
0,@user Can U Help?||More conservatives needed on #TSU + get paid 4 posting stuff like this!||YOU $ can go to,0,20,20,4.4,107,0,1,1,6,10,||YOU, can u helpmore conservatives needed on tsu  get paid  posting stuff like thisyou  can go to
1,"Just walked in to #Starbucks and asked for a ""tall blonde"" Hahahaha #irony",1,13,13,4.77,74,0,1,0,6,4,tall,just walked in to starbucks and asked for a tall blonde hahahaha irony
2,#NOT GONNA WIN,0,3,3,4.0,14,0,1,0,0,1,,not gonna win
3,@user He is exactly that sort of person. Weirdo!,0,9,9,4.44,48,0,0,1,4,3,, he is exactly that sort of person weirdo
4,So much #sarcasm at work mate 10/10 #boring 100% #dead mate full on #shit absolutely #sleeping mate can't handle the #sarcasm,1,21,18,5.0,125,0,1,0,5,9,much dead full,so much sarcasm at work mate  boring  dead mate full on shit absolutely sleeping mate cant handle the sarcasm
5,Corny jokes are my absolute favorite,0,6,6,5.17,36,0,0,0,2,0,absolute,corny jokes are my absolute favorite
6,"People complain about my backround pic and all I feel is like ""hey don't blame me, Albert E might have spoken those words"" #sarcasm #life",1,25,25,4.52,137,0,1,0,10,6,,people complain about my backround pic and all i feel is like hey dont blame me albert e might have spoken those words sarcasm life
7,"@user @user Darn, my sock joke needs fixing?",0,8,7,4.62,44,0,0,1,1,4,,  darn my sock joke needs fixing
8,"if Christian expects Fifa to sleep in my bed with me tonight, he's wrong 👿",0,15,15,4.0,74,0,0,0,7,2,wrong,if christian expects fifa to sleep in my bed with me tonight hes wrong 👿
9,"People who tell people with anxiety to ""just stop worrying about it"" are my favorite kind of people #not #educateyourself",1,20,19,5.1,121,0,1,0,7,4,favorite,people who tell people with anxiety to just stop worrying about it are my favorite kind of people not educateyourself
10,Most important thing I've learned in school,0,7,7,5.29,43,0,0,0,3,1,important,most important thing ive learned in school
11,#OrionLaunch underway - yeah! #Orion,0,5,5,6.4,36,0,1,0,0,4,,orionlaunch underway  yeah orion
12,I love context and large ensemble Fridays!!!!! Der my most favourite #Sarcasm #GetTheFuckOut,1,13,13,6.15,92,0,1,0,4,7,large ensemble favourite,i love context and large ensemble fridays der my most favourite sarcasm getthefuckout
13,Oh boy... @user in the house. Warm up the DJ booth @user,0,12,10,3.75,56,0,0,1,4,6,,oh boy  in the house warm up the dj booth 
14,"LIAR, i've never denied the 532 murders in Chicago in 2012 @user @user @user @user @user",0,16,11,4.56,88,0,0,1,4,7,,liar ive never denied the  murders in chicago in      
15,"Always classy, never trashy and just a little sassy.",0,9,9,4.89,52,0,0,0,3,2,trashy little,always classy never trashy and just a little sassy
16,"you believe you can say something, provide no proof and its a fact, WRONG @user @user",0,16,14,4.38,85,0,0,1,7,4,,you believe you can say something provide no proof and its a fact wrong  
17,@user #Not #Long To Go #Before #MainStream #Media #Pitch. #Surgery #follows #with #me #using #Prototype #demonstrating #real #situation.Phil,0,18,18,6.83,140,0,1,1,1,18,real, not long to go before mainstream media pitch surgery follows with me using prototype demonstrating real situationphil
18,@user Re: Jamie Grace has Tourette's? Thanks for sharing. I'm about to research her & post my tribute to this Young lady Gospel singer,0,24,23,4.62,134,0,0,1,9,7,user, re jamie grace has tourettes thanks for sharing im about to research her  post my tribute to this young lady gospel singer
19,@user Guess they didn't get the memo reg non-nuclear Baltic sea #sarcasm,1,12,12,5.08,72,0,1,1,4,4,non-nuclear, guess they didnt get the memo reg nonnuclear baltic sea sarcasm
20,Exam na jud. Merry christmas. ||#Sarcasm|#KillUsSlowly,1,6,6,8.17,54,0,1,0,0,7,||,exam na jud merry christmas sarcasmkillusslowly
21,The definition of #IRONY would be if a 77-year-old rapper went #viral and took #BITCOIN mainstream. Maybe only way #babyboomers will buy in.,1,23,23,5.13,140,0,1,0,8,8,77-year-old viral,the definition of irony would be if a yearold rapper went viral and took bitcoin mainstream maybe only way babyboomers will buy in
22,Pretty excited about how you gave up on me. File Under: #sarcasm,1,12,12,4.42,64,0,1,0,5,3,,pretty excited about how you gave up on me file under sarcasm
23,Who told the #hipsters that #irony was a thing of the Clinton years? Do they not carry history books in used bookstores in #brooklyn ?,1,25,23,4.4,134,0,1,0,12,5,used,who told the hipsters that irony was a thing of the clinton years do they not carry history books in used bookstores in brooklyn 
24,@user u know that. How u doing??,0,7,6,3.71,32,0,0,1,1,4,u, u know that how u doing
25,@user hmm... let me think about that #sarcasm,1,8,8,4.75,45,0,1,1,3,5,, hmm let me think about that sarcasm
26,"If you wanna look like a badass, have drama on social media #not",1,13,13,4.0,64,0,1,0,6,2,na social,if you wanna look like a badass have drama on social media not
27,How dare Charles Barkley have an intelligent conversation about race. #sarcasm #CharlesBarkley,1,12,12,6.92,94,0,1,0,4,3,dare intelligent sarcasm,how dare charles barkley have an intelligent conversation about race sarcasm charlesbarkley
28,"@user I think the general rule is, if it's open all night, pull an all-nighter.",0,15,15,4.33,79,0,0,1,6,6,general open, i think the general rule is if its open all night pull an allnighter
29,Natalie Prass - Bird of Prey: via @user,0,8,8,4.0,39,0,0,1,1,3,,natalie prass  bird of prey via 
30,Nooooooooooo again it's on!!! #PickANewSong #CantStandIt,0,6,6,8.5,56,0,1,0,2,6,,nooooooooooo again its on pickanewsong cantstandit
31,"Being a hipster now is so mainstream. Oh, the irony. #hipster #irony",1,12,12,4.75,68,0,1,0,5,5,mainstream,being a hipster now is so mainstream oh the irony hipster irony
32,@user exactly and we are fighting like animals,0,8,8,4.88,46,0,0,1,4,1,, exactly and we are fighting like animals
33,#TeenAnalCasting #Top Top 50 Christian Songs For 2012,0,8,8,5.75,53,0,1,0,1,2,,teenanalcasting top top  christian songs for 
34,The girls on #SororitySisters thought they'd get rich and famous but instead they be like...,0,15,15,5.2,92,0,1,0,8,5,rich famous,the girls on sororitysisters thought theyd get rich and famous but instead they be like
35,"Speaking of #country #music albums, anyone else think #SundownHeavenTown feels more like a #TimMcGraw album than, say, his previous three?",0,20,20,5.95,138,0,1,0,6,8,previous,speaking of country music albums anyone else think sundownheaventown feels more like a timmcgraw album than say his previous three
36,#TeenAnalCasting #Sex Sex and the City 2 Movie Casting Auditions NYC Summer 2009,0,13,13,5.23,80,0,1,0,2,2,,teenanalcasting sex sex and the city  movie casting auditions nyc summer 
37,"season 6 episode 3 carries outfit, simple & chic 👌",0,10,10,4.1,50,0,0,0,0,2,simple chic,season  episode  carries outfit simple  chic 👌
38,Well got the truck buried today perfect way to start a rainy Wednesday work day off #not #annoyed #pissed,1,19,19,4.58,105,0,1,0,4,3,perfect annoyed,well got the truck buried today perfect way to start a rainy wednesday work day off not annoyed pissed
39,"On the train and surrounded by posh people, I'm so at home! #not #stickoutlikeasorethumb",1,14,14,5.36,88,0,1,0,7,5,posh,on the train and surrounded by posh people im so at home not stickoutlikeasorethumb
40,Stupid #doctors visits is gonna bury me!! Now that's #irony,1,10,10,5.0,59,0,1,0,2,5,Stupid,stupid doctors visits is gonna bury me now thats irony
41,"Love the way @user says fault from last night will be fixed by 4pm, only to see a man in a van pull up at 4pm to fix the fault #irony",1,31,27,3.32,133,0,1,1,13,3,last,love the way  says fault from last night will be fixed by pm only to see a man in a van pull up at pm to fix the fault irony
42,Planning a vacation instead of studying.... My priorities are in line. #NOT,1,12,12,5.33,75,0,1,0,5,6,,planning a vacation instead of studying my priorities are in line not
43,Dan said he's going to have a sign for me at the airport when I fly in lol #SoCute #3MoreWeeks,0,20,20,3.75,94,0,1,0,11,3,lol,dan said hes going to have a sign for me at the airport when i fly in lol socute moreweeks
44,You decide to go on vacation without me sleep? Reaaaal nice. #considerate #not 😒💤,1,14,14,4.86,81,0,1,0,4,4,considerate,you decide to go on vacation without me sleep reaaaal nice considerate not 😒💤
45,@user No sugar during christmas time? :(,0,7,7,4.86,40,0,0,1,2,4,, no sugar during christmas time 
