,text,Mapping,word_count,unique_wordcount,mean_word_length,tweet_length,url_count,hashtags,mention_count,stopwords,punctuation_count,text_Adjectives,Processed_Text
0,seeing ppl walking w/ crutches makes me really excited for the next 3 weeks of my life,1,17,17,4.12,86,0,0,0,5,1,w/ next,seeing ppl walking w crutches makes me really excited for the next  weeks of my life
1,"look for the girl with the broken smile, ask her if she wants to stay while, and she will be loved. 💕🎵",0,22,20,3.68,102,0,0,0,11,3,,look for the girl with the broken smile ask her if she wants to stay while and she will be loved 💕🎵
2,Now I remember why I buy books online @user #servicewithasmile,1,10,9,5.3,62,0,1,1,3,2,,now i remember why i buy books online  servicewithasmile
3,@user @user So is he banded from wearing the clothes?  #Karma,1,11,10,4.55,61,0,1,1,5,4,,  so is he banded from wearing the clothes  karma
4,Just found out there are Etch A Sketch apps.  #oldschool #notoldschool,1,11,11,5.36,70,0,1,0,5,3,oldschool,just found out there are etch a sketch apps  oldschool notoldschool
5,"Hey what do you know, one of the witnesses supporting Darren Wilson's story lied! And is racist! Mind blown!",1,19,19,4.74,108,0,0,0,7,5,racist,hey what do you know one of the witnesses supporting darren wilsons story lied and is racist mind blown
6,@user on stage at #flzjingleball at the @user in #Tampa #iheartradio,0,11,9,5.27,68,0,1,1,5,5,, on stage at flzjingleball at the  in tampa iheartradio
7,You know it's going to be a great day when you're Garmin resets itself and you spill some cinnamon down yourself  #slowclap,1,22,22,4.59,123,0,1,0,13,3,great,you know its going to be a great day when youre garmin resets itself and you spill some cinnamon down yourself  slowclap
8,Halfway thorough my workday ... Woooo,1,6,6,5.33,37,0,0,0,1,3,,halfway thorough my workday  woooo
9,Would like to thank my nephew for giving me his horrible cold & sore throat etc.. Much appreciated!,1,18,18,4.56,99,0,0,0,7,4,horrible,would like to thank my nephew for giving me his horrible cold  sore throat etc much appreciated
10,I forked node!  Get ready for the future.  (Where's my interviews),0,11,11,4.91,66,0,0,0,5,5,ready,i forked node  get ready for the future  wheres my interviews
11,"@user @user @user @user I'm off to visit great-nephew very ill, only 20  fair",0,14,11,4.5,77,0,0,1,5,7,great-nephew,    im off to visit greatnephew very ill only   fair
12,"If his Twitter account is any sign, then this book looks to be a must read  id rather read twilight",1,20,19,3.95,99,0,0,0,9,1,,if his twitter account is any sign then this book looks to be a must read  id rather read twilight
13,Nicholas Sparks has been manipulating women to believe that guys (in reality) are as sensitive as the male characters in his books.,1,22,21,5.0,131,0,0,0,10,3,sensitive,nicholas sparks has been manipulating women to believe that guys in reality are as sensitive as the male characters in his books
14,@user Can U use Smartphone?||http://t.co/Q2WB7riAvK|SmartPhone APP PAYS you!|See-http://t.co/RDlRuGN0iE |Go 2:,0,10,10,10.1,110,2,0,1,1,20,|See-http, can u use smartphone app pays yousee go 
15,"When we stop accepting crumbs in the name of love, only then we can equally appreciate the silence of solitude & festivity of loving.",0,24,20,4.58,133,0,0,0,12,3,,when we stop accepting crumbs in the name of love only then we can equally appreciate the silence of solitude  festivity of loving
16,.@CelticOwlWisdom Alert the media! Some guy on twitter has un-cited proof that evolution is wrong! Let's get his Nobel prize ready!,1,21,21,5.29,131,0,0,1,9,7,@ un-cited wrong, alert the media some guy on twitter has uncited proof that evolution is wrong lets get his nobel prize ready
17,Shameless' accounting firms make vast sums advising rich on how to rip off taxpayers - accounting chief|http://t.co/9BSDuJAKXb <,0,18,17,6.17,128,1,0,0,4,9,vast rich,shameless accounting firms make vast sums advising rich on how to rip off taxpayers  accounting chief 
18,🙀😱🙀😱🙀😱 #POPCORN!!!!!! 😂🎅😂🎅😂🔫🔫 bringing this at movie tuesday night!!,1,9,9,6.67,68,0,1,0,2,9,😂🎅😂🎅😂🔫🔫,🙀😱🙀😱🙀😱 popcorn 😂🎅😂🎅😂🔫🔫 bringing this at movie tuesday night
19,Main issue with the walking dead- you forget to breathe when you're watching. So bloody good #WalkingDead,0,17,17,5.24,105,0,1,0,7,4,bloody good WalkingDead,main issue with the walking dead you forget to breathe when youre watching so bloody good walkingdead
